Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
159.655,155.839,9.55905,319.995,549.938,549.884,,,,
159.739,155.923,9.556,319.998,549.946,550.003,,,,
159.822,156.006,9.55348,320.003,550.013,549.956,,,,
159.905,156.089,9.55042,320.005,550.004,549.926,,,,
159.989,156.173,9.56149,319.997,549.92,550.007,,,,
160.072,156.256,9.55852,320.003,549.852,549.974,,,,
160.155,156.339,9.55287,319.997,549.999,549.936,,,,
160.239,156.423,9.55667,320.002,549.957,549.921,,,,
160.322,156.506,9.55424,319.992,549.97,550.014,,,,
160.405,156.589,9.55519,320.005,549.953,549.941,,,,
160.489,156.673,9.55175,320,549.904,549.827,,,,
160.572,156.756,9.55386,319.997,549.837,549.919,,,,
160.655,156.839,9.55041,320.014,549.864,549.949,,,,
160.739,156.923,9.55413,320.004,549.973,549.915,,,,
160.822,157.006,9.55629,319.999,549.831,549.895,,,,
160.905,157.089,9.55865,320.003,549.902,550.005,,,,
160.989,157.173,9.55332,319.997,549.938,549.889,,,,
161.072,157.256,9.55189,320.003,549.883,549.874,,,,
161.155,157.339,9.55331,320.003,549.906,550.006,,,,
161.239,157.423,9.55495,320.005,549.957,549.979,,,,
161.322,157.506,9.54962,320.004,549.981,549.915,,,,
161.405,157.589,9.55449,319.999,549.864,549.912,,,,
161.489,157.673,9.5604,319.994,549.996,550.067,,,,
161.572,157.756,9.55375,319.998,550.008,549.976,,,,
161.655,157.839,9.55212,320,549.968,549.882,,,,
161.739,157.923,9.55338,320.012,549.866,549.95,,,,
161.822,158.006,9.55933,319.999,549.784,549.91,,,,
161.905,158.089,9.55095,319.996,549.933,549.874,,,,
161.989,158.173,9.55159,320.007,549.854,549.87,,,,
162.072,158.256,9.56123,320.005,549.891,549.986,,,,
162.155,158.339,9.55676,320.005,549.959,549.924,,,,
162.239,158.423,9.55333,319.999,549.952,549.883,,,,
162.322,158.506,9.55686,320.004,549.845,549.907,,,,
162.405,158.589,9.55478,320.003,549.852,549.951,,,,
162.489,158.673,9.55544,320.007,549.999,549.962,,,,
162.572,158.756,9.55853,320.016,549.961,549.86,,,,
162.655,158.839,9.56159,320.007,549.782,549.896,,,,
162.739,158.923,9.55747,319.996,549.89,549.976,,,,
162.822,159.006,9.55397,319.999,549.956,549.875,,,,
162.905,159.089,9.55966,319.997,549.847,549.912,,,,
162.989,159.173,9.55637,320.009,549.898,549.996,,,,
163.072,159.256,9.55189,320.002,549.972,549.951,,,,
163.155,159.339,9.55355,319.995,549.982,549.884,,,,
163.239,159.423,9.56044,320.003,549.817,549.875,,,,
163.322,159.506,9.55681,320.001,549.856,549.948,,,,
163.405,159.589,9.55369,320.004,549.909,549.851,,,,
163.489,159.673,9.54939,319.999,549.81,549.836,,,,
163.572,159.756,9.55336,320.003,549.787,549.869,,,,
163.655,159.839,9.55592,320.004,549.873,549.82,,,,
163.739,159.923,9.55283,320,549.84,549.743,,,,
163.822,160.006,9.55397,320.004,549.798,549.833,,,,
163.905,160.089,9.55696,319.999,549.868,549.87,,,,
163.989,160.173,9.5568,319.998,549.848,549.764,,,,
164.072,160.256,9.56138,320.008,549.788,549.826,,,,
164.155,160.339,9.55836,320.004,549.977,550.02,,,,
164.239,160.423,9.55678,320.007,550.038,550.007,,,,
164.322,160.506,9.55464,319.999,549.996,549.906,,,,
164.405,160.589,9.56014,320.001,549.805,549.891,,,,
164.489,160.673,9.55582,320.004,549.885,549.903,,,,
164.572,160.756,9.55558,320.009,549.921,549.808,,,,
164.655,160.839,9.55678,319.996,549.746,549.794,,,,
164.739,160.923,9.55899,320.003,549.8,549.864,,,,
164.822,161.006,9.55208,320.002,550.015,549.922,,,,
164.905,161.089,9.55338,320,549.961,549.938,,,,
164.989,161.173,9.56158,320.005,550.022,550.104,,,,
165.072,161.256,9.55848,320.002,550.12,550.042,,,,
165.155,161.339,9.55737,320.004,550.091,549.988,,,,
165.239,161.423,9.55962,320.004,549.933,550,,,,
165.322,161.506,9.55855,320.001,549.946,549.987,,,,
165.405,161.589,9.55324,320.009,549.999,549.908,,,,
165.489,161.673,9.5582,319.996,549.911,549.921,,,,
165.572,161.756,9.55227,319.996,549.887,549.978,,,,
165.655,161.839,9.55712,320,550,549.948,,,,
165.739,161.923,9.55596,320.008,549.981,549.888,,,,
165.822,162.006,9.5626,320.001,549.845,549.898,,,,
165.905,162.089,9.55896,320.004,549.907,549.935,,,,
165.989,162.173,9.55389,320.001,549.897,549.81,,,,
166.072,162.256,9.55186,319.995,549.77,549.818,,,,
166.155,162.339,9.55786,320.002,549.844,549.916,,,,
166.239,162.423,9.55684,320.004,549.884,549.809,,,,
166.322,162.506,9.55979,320.008,549.786,549.768,,,,
166.405,162.589,9.55255,320.002,549.747,549.824,,,,
166.489,162.673,9.55976,320.004,549.83,549.776,,,,
166.572,162.756,9.5546,319.992,549.837,549.763,,,,
166.655,162.839,9.55894,320.006,549.713,549.834,,,,
166.739,162.923,9.55735,320.002,549.839,549.832,,,,
166.822,163.006,9.55534,320.01,549.865,549.787,,,,
166.905,163.089,9.55257,319.999,549.756,549.824,,,,
166.989,163.173,9.55977,320.01,549.836,549.913,,,,
167.072,163.256,9.55599,320.004,549.999,549.915,,,,
167.155,163.339,9.55667,320.004,549.92,549.815,,,,
167.239,163.423,9.55916,320.006,549.875,549.939,,,,
167.322,163.506,9.56071,320.004,550.049,550.061,,,,
167.405,163.589,9.55749,320.003,550.033,549.944,,,,
167.489,163.673,9.55689,320.002,549.921,549.93,,,,
167.572,163.756,9.55535,320.005,549.908,549.98,,,,
167.655,163.839,9.5556,320.007,550.003,549.929,,,,
167.739,163.923,9.55817,319.995,550.039,549.931,,,,
167.822,164.006,9.56896,320.005,549.901,549.973,,,,
167.905,164.089,9.56078,320.006,549.852,549.968,,,,
167.989,164.173,9.55889,320,549.991,549.892,,,,
168.072,164.256,9.56651,319.999,549.844,549.918,,,,
168.155,164.339,9.56389,320.002,549.931,549.991,,,,
168.239,164.423,9.55804,319.999,549.97,549.909,,,,
168.322,164.506,9.55826,320.006,549.962,549.926,,,,
168.405,164.589,9.56504,320.013,549.901,549.973,,,,
168.489,164.673,9.55975,319.999,549.938,549.971,,,,
168.572,164.756,9.55672,320.002,549.956,549.862,,,,
168.655,164.839,9.56291,320.007,549.907,549.982,,,,
168.739,164.923,9.55858,320.002,549.894,549.958,,,,
168.822,165.006,9.55722,320.002,549.933,549.852,,,,
168.905,165.089,9.56311,320.001,549.887,549.901,,,,
168.989,165.173,9.55851,320.007,549.879,549.955,,,,
169.072,165.256,9.55698,319.997,549.917,549.875,,,,
169.155,165.339,9.54891,320.006,549.751,549.737,,,,
169.239,165.423,9.55681,320.006,549.818,549.918,,,,
169.322,165.506,9.55979,320.007,549.866,549.841,,,,
169.405,165.589,9.55543,319.99,549.825,549.759,,,,
169.489,165.673,9.56179,320.003,549.78,549.881,,,,
169.572,165.756,9.55704,320.004,549.905,549.866,,,,
169.655,165.839,9.55658,319.997,549.878,549.801,,,,
169.739,165.923,9.56253,320.005,549.622,549.719,,,,
169.822,166.006,9.55845,319.997,549.882,549.859,,,,
169.905,166.089,9.55758,319.996,549.989,549.912,,,,
169.989,166.173,9.55592,320.008,549.965,550.017,,,,
170.072,166.256,9.55989,320.008,549.915,550.004,,,,
170.155,166.339,9.55635,319.994,550.01,549.934,,,,
170.239,166.423,9.55435,320.008,549.807,549.838,,,,
170.322,166.506,9.5668,319.998,549.939,549.921,,,,
170.405,166.589,9.55712,319.999,549.88,549.778,,,,
170.489,166.673,9.55874,320.006,549.731,549.777,,,,
170.572,166.756,9.56093,320.006,549.898,549.844,,,,
170.655,166.839,9.55996,320.002,549.916,549.8,,,,
170.739,166.923,9.55298,320.005,549.854,549.946,,,,
170.822,167.006,9.55883,320.005,549.941,549.857,,,,
170.905,167.089,9.55851,319.99,549.963,549.901,,,,
170.989,167.173,9.56295,320.006,549.846,549.933,,,,
171.072,167.256,9.55595,319.998,549.996,549.916,,,,
171.155,167.339,9.55548,320.009,549.906,549.928,,,,
171.239,167.423,9.55829,320.008,549.957,549.975,,,,
171.322,167.506,9.55965,320.007,550.012,549.901,,,,
171.405,167.589,9.55816,319.996,549.926,549.938,,,,
171.489,167.673,9.56067,320.002,549.999,549.991,,,,
171.572,167.756,9.55584,320.009,549.941,549.84,,,,
171.655,167.839,9.5573,320.001,549.777,549.866,,,,
171.739,167.923,9.55817,319.996,549.984,549.926,,,,
171.822,168.006,9.55942,320.015,549.977,549.897,,,,
171.905,168.089,9.55703,320.005,549.937,549.988,,,,
171.989,168.173,9.55437,320.002,549.991,549.911,,,,
172.072,168.256,9.55583,320.005,549.946,549.928,,,,
172.155,168.339,9.555,320.002,549.91,550.01,,,,
172.239,168.423,9.55694,320.008,549.993,549.942,,,,
172.322,168.506,9.56011,320.005,549.76,549.866,,,,
172.405,168.589,9.55863,320.002,549.859,549.963,,,,
172.489,168.673,9.55534,319.998,549.912,549.833,,,,
172.572,168.756,9.55446,320.001,549.829,549.961,,,,
172.655,168.839,9.55729,320.003,549.932,549.916,,,,
172.739,168.923,9.55606,320.009,549.929,549.868,,,,
172.822,169.006,9.55663,320,549.861,549.946,,,,
172.905,169.089,9.55776,320.003,549.957,549.909,,,,
172.989,169.173,9.55555,319.996,549.944,549.859,,,,
173.072,169.256,9.55312,320.004,549.706,549.818,,,,
173.155,169.339,9.55704,319.997,549.966,549.921,,,,
173.239,169.423,9.55743,320.004,549.943,549.931,,,,
173.322,169.506,9.55484,319.996,549.883,550.024,,,,
173.405,169.589,9.55806,320.006,549.988,549.919,,,,
173.489,169.673,9.55748,319.999,549.817,549.892,,,,
173.572,169.756,9.56032,319.998,549.915,550.051,,,,
173.655,169.839,9.55632,320.007,549.935,549.873,,,,
173.739,169.923,9.5638,320.014,549.848,549.944,,,,
173.822,170.006,9.5602,320.005,549.988,550.02,,,,
173.905,170.089,9.55777,320,549.945,549.851,,,,
173.989,170.173,9.55542,320.01,549.816,549.927,,,,
174.072,170.256,9.56049,320.01,549.977,549.927,,,,
174.155,170.339,9.56021,320.006,549.909,549.855,,,,
174.239,170.423,9.56288,320.004,549.841,549.94,,,,
174.322,170.506,9.55686,319.999,549.901,549.812,,,,
174.405,170.589,9.56425,319.999,549.794,549.884,,,,
174.489,170.673,9.5586,320.004,549.923,549.901,,,,
174.572,170.756,9.55707,319.998,549.896,549.82,,,,
174.655,170.839,9.55993,320,549.81,549.838,,,,
174.739,170.923,9.56131,320,549.844,549.932,,,,
174.822,171.006,9.55869,320.004,549.918,549.889,,,,
174.905,171.089,9.55235,320.006,549.86,549.759,,,,
174.989,171.173,9.55775,320.003,549.86,549.915,,,,
175.072,171.256,9.56234,320.007,549.872,549.945,,,,
175.155,171.339,9.56089,320.001,549.96,549.867,,,,
175.239,171.423,9.56101,319.996,549.884,549.865,,,,
175.322,171.506,9.55932,319.996,549.978,550.044,,,,
175.405,171.589,9.56056,319.997,549.952,549.979,,,,
175.489,171.673,9.55417,319.998,549.968,549.861,,,,
175.572,171.756,9.55885,320,549.842,549.892,,,,
175.655,171.839,9.55824,320.007,549.905,549.997,,,,
175.739,171.923,9.55697,320.002,550.034,550.077,,,,
175.822,172.006,9.55647,320.006,550.005,549.902,,,,
175.905,172.089,9.5556,320.004,549.99,549.994,,,,
175.989,172.173,9.56364,320.013,549.973,550.033,,,,
176.072,172.256,9.55316,320.009,549.984,550.048,,,,
176.155,172.339,9.55388,319.997,550.045,550.009,,,,
176.239,172.423,9.56153,320.001,549.981,549.97,,,,
176.322,172.506,9.55965,320.005,549.915,549.997,,,,
176.405,172.589,9.56255,320.002,549.952,549.992,,,,
176.489,172.673,9.5598,320.004,549.987,549.908,,,,
176.572,172.756,9.5608,320.005,549.916,549.966,,,,
176.655,172.839,9.5603,320.003,549.846,549.938,,,,
176.739,172.923,9.56084,320.001,549.989,549.984,,,,
176.822,173.006,9.55851,319.991,549.981,549.879,,,,
176.905,173.089,9.56316,319.993,549.934,549.998,,,,
176.989,173.173,9.56695,320.001,549.975,550.04,,,,
177.072,173.256,9.55843,320.001,550.034,549.98,,,,
177.155,173.339,9.56103,319.998,550.003,549.941,,,,
177.239,173.423,9.56321,320.002,549.91,550.004,,,,
177.322,173.506,9.56224,320.001,549.852,549.946,,,,
177.405,173.589,9.55818,319.998,549.851,549.801,,,,
177.489,173.673,9.55887,320.01,549.824,549.769,,,,
177.572,173.756,9.56495,320.003,549.783,549.88,,,,
177.655,173.839,9.56057,320.007,549.796,549.866,,,,
177.739,173.923,9.55743,320,549.868,549.799,,,,
177.822,174.006,9.55205,320.005,549.818,549.847,,,,
177.905,174.089,9.56409,320.009,549.9,549.974,,,,
177.989,174.173,9.56188,320.002,549.963,549.958,,,,
178.072,174.256,9.55706,319.999,549.977,549.902,,,,
178.155,174.339,9.56098,320.003,549.823,549.846,,,,
178.239,174.423,9.55833,320.006,549.856,549.909,,,,
178.322,174.506,9.56022,320.006,549.886,549.877,,,,
178.405,174.589,9.55753,320.007,549.847,549.765,,,,
178.489,174.673,9.56353,320,549.806,549.848,,,,
178.572,174.756,9.56508,320.01,549.846,549.912,,,,
178.655,174.839,9.55795,320.003,549.913,549.858,,,,
178.739,174.923,9.55746,320.001,549.911,549.797,,,,
178.822,175.006,9.56247,320.002,549.802,549.859,,,,
178.905,175.089,9.56207,320.002,549.874,549.92,,,,
178.989,175.173,9.56336,320.011,549.81,549.881,,,,
179.072,175.256,9.55603,319.999,549.94,549.824,,,,
179.155,175.339,9.55321,320.002,549.861,549.81,,,,
179.239,175.423,9.56289,320,549.885,549.925,,,,
179.322,175.506,9.5581,319.999,549.994,550.037,,,,
179.405,175.589,9.55736,320,550.08,549.979,,,,
179.489,175.673,9.55894,320.004,549.993,549.999,,,,
179.572,175.756,9.55491,319.999,550.037,550.098,,,,
179.655,175.839,9.56291,320.004,550.069,550.152,,,,
179.739,175.923,9.56036,320.004,550.077,550.003,,,,
179.822,176.006,9.56056,320.005,550.055,550.03,,,,
179.905,176.089,9.56227,320.005,549.976,550.005,,,,
179.989,176.173,9.56083,320.003,549.91,549.969,,,,
180.072,176.256,9.55632,320.001,549.957,549.841,,,,
180.155,176.339,9.56275,320.008,549.84,549.861,,,,
180.239,176.423,9.56215,319.99,549.867,549.938,,,,
180.322,176.506,9.56145,320.008,549.958,549.962,,,,
180.405,176.589,9.55669,320,549.929,549.842,,,,
180.489,176.673,9.5562,320.007,549.877,549.952,,,,
180.572,176.756,9.55622,320.001,549.942,550.013,,,,
180.655,176.839,9.55895,320.006,549.925,549.97,,,,
180.739,176.923,9.55915,320.002,549.981,549.867,,,,
180.822,177.006,9.56605,320.003,549.926,549.96,,,,
180.905,177.089,9.56234,320,549.839,549.889,,,,
180.989,177.173,9.55805,320.003,549.852,549.802,,,,
181.072,177.256,9.55759,320.005,549.848,549.737,,,,
181.155,177.339,9.55779,320.001,549.698,549.756,,,,
181.239,177.423,9.56389,320,549.861,549.907,,,,
181.322,177.506,9.55917,320.002,549.817,549.894,,,,
181.405,177.589,9.55972,319.996,549.912,549.864,,,,
181.489,177.673,9.55982,320.008,549.932,549.845,,,,
181.572,177.756,9.56803,320.001,549.913,549.999,,,,
181.655,177.839,9.56251,319.998,549.947,550.042,,,,
181.739,177.923,9.55848,320.005,550.035,550.009,,,,
181.822,178.006,9.56175,320.005,549.998,549.918,,,,
181.905,178.089,9.56648,320.005,549.872,549.979,,,,
181.989,178.173,9.55568,319.999,549.938,550.019,,,,
182.072,178.256,9.55856,319.999,549.96,550.035,,,,
182.155,178.339,9.55953,320.008,549.982,549.904,,,,
182.239,178.423,9.56343,320.004,549.929,549.897,,,,
182.322,178.506,9.56748,319.997,549.891,549.996,,,,
182.405,178.589,9.56468,319.999,549.895,549.952,,,,
182.489,178.673,9.56152,320.009,549.923,549.911,,,,
182.572,178.756,9.55833,320.002,549.882,549.792,,,,
182.655,178.839,9.56047,320.003,549.746,549.812,,,,
182.739,178.923,9.55928,319.996,549.811,549.854,,,,
182.822,179.006,9.56901,320.001,549.854,549.93,,,,
182.905,179.089,9.55895,319.993,549.879,549.789,,,,
182.989,179.173,9.56015,320.003,549.77,549.727,,,,
183.072,179.256,9.56305,319.996,549.846,549.892,,,,
183.155,179.339,9.5645,320.008,549.815,549.88,,,,
183.239,179.423,9.56002,320.007,549.93,549.853,,,,
183.322,179.506,9.55764,320.01,549.935,549.856,,,,
183.405,179.589,9.56029,320.001,549.98,550.004,,,,
183.489,179.673,9.56372,320.006,549.909,549.954,,,,
183.572,179.756,9.56318,320.002,550.014,549.974,,,,
183.655,179.839,9.55624,320.012,549.992,549.878,,,,
183.739,179.923,9.56034,319.996,549.845,549.874,,,,
183.822,180.006,9.56245,320,549.949,549.964,,,,
183.905,180.089,9.55645,320.008,550.008,550.041,,,,
183.989,180.173,9.55503,320.004,550.041,549.942,,,,
184.072,180.256,9.5558,320.009,549.995,549.916,,,,
184.155,180.339,9.55717,320.006,549.96,550.01,,,,
184.239,180.423,9.56266,320.001,549.881,549.974,,,,
184.322,180.506,9.56045,320.002,550.024,549.968,,,,
184.405,180.589,9.56001,320.002,549.996,549.889,,,,
184.489,180.673,9.5637,319.996,549.846,549.931,,,,
184.572,180.756,9.56585,320.004,549.901,549.957,,,,
184.655,180.839,9.56288,320.009,550.036,549.967,,,,
184.739,180.923,9.56609,320.002,549.933,549.86,,,,
184.822,181.006,9.56511,320.002,549.912,549.98,,,,
184.905,181.089,9.56915,320.003,549.891,549.974,,,,
184.989,181.173,9.56329,320.007,550.01,549.974,,,,
185.072,181.256,9.55904,320.001,549.982,549.905,,,,
185.155,181.339,9.55566,320.004,549.874,549.935,,,,
185.239,181.423,9.56448,319.998,549.861,549.945,,,,
185.322,181.506,9.5617,320.002,549.875,549.959,,,,
185.405,181.589,9.5587,320,549.89,549.8,,,,
185.489,181.673,9.5612,320.004,549.75,549.812,,,,
185.572,181.756,9.55882,320.007,549.84,549.921,,,,
185.655,181.839,9.56611,320.004,549.886,549.928,,,,
185.739,181.923,9.56299,320.003,549.94,549.87,,,,
185.822,182.006,9.56712,320.004,549.817,549.901,,,,
185.905,182.089,9.56786,320.001,549.909,549.977,,,,
185.989,182.173,9.5653,319.994,549.906,550.006,,,,
186.072,182.256,9.56393,320.007,550.003,549.951,,,,
186.155,182.339,9.56173,320.002,549.99,549.895,,,,
186.239,182.423,9.56726,320.003,549.878,549.954,,,,
186.322,182.506,9.56624,320.007,549.924,550.006,,,,
186.405,182.589,9.56083,319.998,549.915,550.018,,,,
186.489,182.673,9.56052,320.009,549.977,549.898,,,,
186.572,182.756,9.55503,320.014,549.875,549.899,,,,
186.655,182.839,9.56716,320.005,549.887,549.952,,,,
186.739,182.923,9.56595,319.999,549.824,549.926,,,,
186.822,183.006,9.56045,319.997,549.908,549.828,,,,
186.905,183.089,9.56016,320.008,549.885,549.857,,,,
186.989,183.173,9.56059,320.001,549.846,549.931,,,,
187.072,183.256,9.56486,320.004,549.871,549.968,,,,
187.155,183.339,9.56199,320.003,549.932,549.855,,,,
187.239,183.423,9.55985,319.996,549.905,549.823,,,,
187.322,183.506,9.56136,319.991,549.868,549.935,,,,
187.405,183.589,9.56167,319.999,549.83,549.919,,,,
187.489,183.673,9.56154,320.007,549.791,549.857,,,,
187.572,183.756,9.55907,320,549.906,549.809,,,,
187.655,183.839,9.56055,319.998,549.808,549.854,,,,
187.739,183.923,9.56695,320.005,549.952,549.984,,,,
187.822,184.006,9.56418,320.001,549.913,549.948,,,,
187.905,184.089,9.55812,320.006,549.935,549.836,,,,
187.989,184.173,9.56193,319.996,549.755,549.79,,,,
188.072,184.256,9.56431,319.993,549.928,549.983,,,,
188.155,184.339,9.5633,320.003,549.93,549.974,,,,
188.239,184.423,9.56038,320.002,549.973,549.91,,,,
188.322,184.506,9.56038,320.004,549.942,549.828,,,,
188.405,184.589,9.56422,320.004,549.812,549.852,,,,
188.489,184.673,9.56697,320,549.882,549.923,,,,
188.572,184.756,9.56087,319.998,549.859,549.893,,,,
188.655,184.839,9.56097,320.005,549.903,549.791,,,,
188.739,184.923,9.55658,320.004,549.774,549.786,,,,
188.822,185.006,9.56481,319.999,549.828,549.914,,,,
188.905,185.089,9.56292,320.007,549.821,549.901,,,,
188.989,185.173,9.55921,319.998,549.92,549.859,,,,
189.072,185.256,9.56043,319.994,549.915,549.819,,,,
189.155,185.339,9.56466,320.003,549.824,549.84,,,,
189.239,185.423,9.56625,320.007,549.834,549.875,,,,
189.322,185.506,9.55791,320.003,549.945,549.889,,,,
189.405,185.589,9.56279,319.998,549.935,549.799,,,,
189.489,185.673,9.5684,320.003,549.84,549.884,,,,
189.572,185.756,9.55517,319.997,549.852,549.895,,,,
189.655,185.839,9.5629,320.007,550.017,549.917,,,,
189.739,185.923,9.5631,320.013,549.999,549.909,,,,
189.822,186.006,9.56525,320.001,550.009,550.063,,,,
189.905,186.089,9.56601,320,550.009,550.062,,,,
189.989,186.173,9.56267,319.997,550.056,549.958,,,,
190.072,186.256,9.5595,320.003,549.934,549.913,,,,
190.155,186.339,9.56358,320.001,549.953,550.003,,,,
190.239,186.423,9.5614,320,549.926,549.983,,,,
190.322,186.506,9.56199,319.999,549.891,549.806,,,,
190.405,186.589,9.56186,320.01,549.863,549.851,,,,
190.489,186.673,9.56027,320.003,549.782,549.862,,,,
190.572,186.756,9.56107,320.004,549.891,549.856,,,,
190.655,186.839,9.5691,320.006,549.865,549.747,,,,
190.739,186.923,9.56471,320.007,549.846,549.896,,,,
190.822,187.006,9.56492,320.002,549.851,549.895,,,,
190.905,187.089,9.56163,320,549.928,549.84,,,,
190.989,187.173,9.56155,319.998,549.892,549.84,,,,
191.072,187.256,9.56246,320.004,549.855,549.911,,,,
191.155,187.339,9.56168,320.005,549.881,549.897,,,,
191.239,187.423,9.56097,320.01,549.903,549.806,,,,
191.322,187.506,9.56256,319.999,549.834,549.827,,,,
191.405,187.589,9.56133,320,549.968,550.039,,,,
191.489,187.673,9.56523,320.004,549.86,549.948,,,,
191.572,187.756,9.56672,319.998,550.079,550.032,,,,
191.655,187.839,9.5588,320.007,550.036,549.957,,,,
191.739,187.923,9.56412,320.014,549.96,549.95,,,,
191.822,188.006,9.56474,320.003,549.909,549.985,,,,
191.905,188.089,9.56208,319.997,549.911,549.992,,,,
191.989,188.173,9.56221,320.01,549.998,549.887,,,,
192.072,188.256,9.56428,319.998,549.846,549.885,,,,
192.155,188.339,9.56161,320.009,549.905,550.02,,,,
192.239,188.423,9.56746,320.006,549.922,549.991,,,,
192.322,188.506,9.56015,320.009,549.969,549.906,,,,
192.405,188.589,9.56006,320.001,549.927,549.814,,,,
192.489,188.673,9.55532,320.001,549.772,549.831,,,,
192.572,188.756,9.5649,320.002,549.842,549.931,,,,
192.655,188.839,9.56017,320.003,549.927,549.869,,,,
192.739,188.923,9.55855,320.01,549.875,549.77,,,,
192.822,189.006,9.56412,319.998,549.853,549.891,,,,
192.905,189.089,9.56415,320.006,549.768,549.847,,,,
192.989,189.173,9.56119,320.001,549.89,549.862,,,,
193.072,189.256,9.56155,319.996,549.863,549.773,,,,
193.155,189.339,9.56236,319.995,549.798,549.848,,,,
193.239,189.423,9.56608,320,549.778,549.878,,,,
193.322,189.506,9.55936,320.011,549.893,549.936,,,,
193.405,189.589,9.5588,320.004,549.923,549.824,,,,
193.489,189.673,9.55803,320.001,549.919,549.875,,,,
193.572,189.756,9.56601,319.997,549.906,549.974,,,,
193.655,189.839,9.56455,320,549.858,549.919,,,,
193.739,189.923,9.55983,320.004,549.974,549.886,,,,
193.822,190.006,9.56229,320.007,549.949,549.874,,,,
193.905,190.089,9.55585,320.005,549.915,549.969,,,,
193.989,190.173,9.5638,320.008,549.906,549.96,,,,
194.072,190.256,9.56074,320.008,550.022,549.981,,,,
194.155,190.339,9.56043,319.997,549.964,549.865,,,,
194.239,190.423,9.56762,320,549.819,549.864,,,,
194.322,190.506,9.56343,319.999,549.858,549.908,,,,
194.405,190.589,9.56473,320.008,549.948,549.943,,,,
194.489,190.673,9.56025,320.006,549.937,549.831,,,,
194.572,190.756,9.56562,320,549.813,549.836,,,,
194.655,190.839,9.56558,320.003,549.918,549.955,,,,
194.739,190.923,9.56209,319.998,549.929,549.966,,,,
194.822,191.006,9.55865,320.006,549.945,549.84,,,,
194.905,191.089,9.56218,320.001,549.949,549.827,,,,
194.989,191.173,9.56229,320.003,549.928,549.956,,,,
195.072,191.256,9.56977,319.998,549.982,550.012,,,,
195.155,191.339,9.56373,319.999,550.002,549.993,,,,
195.239,191.423,9.55786,319.999,549.984,549.91,,,,
195.322,191.506,9.56364,319.998,549.872,549.884,,,,
195.405,191.589,9.56841,320.007,549.955,549.976,,,,
195.489,191.673,9.56272,320.008,549.954,550.018,,,,
195.572,191.756,9.56108,319.998,550.003,549.912,,,,
195.655,191.839,9.56084,319.999,549.94,549.943,,,,
195.739,191.923,9.55652,320.003,549.991,550.044,,,,
195.822,192.006,9.55932,320.002,549.9,549.954,,,,
195.905,192.089,9.56112,320.003,549.967,549.896,,,,
195.989,192.173,9.55474,320.005,549.957,549.891,,,,
196.072,192.256,9.56541,320.001,549.897,549.958,,,,
196.155,192.339,9.56616,320.004,549.945,549.996,,,,
196.239,192.423,9.56004,320.003,550.008,550.056,,,,
196.322,192.506,9.55941,320.009,549.986,549.92,,,,
196.405,192.589,9.56008,319.998,549.869,549.938,,,,
196.489,192.673,9.56082,320.002,549.892,549.946,,,,
196.572,192.756,9.56047,320.005,549.934,549.956,,,,
196.655,192.839,9.5591,320.004,549.939,549.864,,,,
196.739,192.923,9.56909,320.01,549.835,549.885,,,,
196.822,193.006,9.55619,320.009,549.904,550.001,,,,
196.905,193.089,9.56633,320.005,549.953,550.048,,,,
196.989,193.173,9.55965,319.994,549.967,549.917,,,,
197.072,193.256,9.56458,320,549.961,549.867,,,,
197.155,193.339,9.56583,320.006,549.863,549.953,,,,
197.239,193.423,9.56082,319.992,549.889,550.007,,,,
197.322,193.506,9.56047,319.996,549.961,550.054,,,,
197.405,193.589,9.55772,320.009,549.956,549.934,,,,
197.489,193.673,9.56142,320.002,549.888,549.9,,,,
197.572,193.756,9.55957,320.002,549.902,549.973,,,,
197.655,193.839,9.56656,320.008,549.893,550.006,,,,
197.739,193.923,9.56407,320.01,549.97,549.946,,,,
197.822,194.006,9.561,320.009,549.944,549.863,,,,
197.905,194.089,9.56342,320.014,549.757,549.869,,,,
197.989,194.173,9.56777,320.008,549.896,549.979,,,,
198.072,194.256,9.56068,320.004,549.943,549.994,,,,
198.155,194.339,9.55649,319.997,549.926,549.896,,,,
198.239,194.423,9.56026,319.996,549.902,549.886,,,,
198.322,194.506,9.5677,319.999,549.895,549.986,,,,
198.405,194.589,9.56135,320.004,549.893,549.987,,,,
198.489,194.673,9.56043,319.994,549.916,549.868,,,,
198.572,194.756,9.55467,319.997,549.902,549.83,,,,
198.655,194.839,9.56771,319.997,549.828,549.917,,,,
198.739,194.923,9.55943,320.005,549.801,549.891,,,,
198.822,195.006,9.55992,319.998,549.943,549.896,,,,
198.905,195.089,9.55811,319.996,549.933,549.859,,,,
198.989,195.173,9.56352,320.001,549.817,549.896,,,,
199.072,195.256,9.56314,320.007,549.884,549.933,,,,
199.155,195.339,9.56159,320.005,549.835,549.896,,,,
