Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep,,Time 280 Chris1,Strain 280 Chris1,,,Time 280 Chris2,Strain 280 Chris2,,,Time 280 MOOSE,Strain 280 MOOSE,,,Time 280 Creep FITTED,Strain 280 Creep FITTED,,,Time 320 Creep FITTED,Strain 320 Creep FITTED
3.073215008,0.047760393,6.66449213,0.000119046,,4.988417149,0.070741221,11.04869843,0.000330301,,4.528329,0.083128,9.98874,0.000461,,1.816299796,0.096439667,3.836393356,0.000446405,,3.355555556,0.01616676,,,0.022222222,-0.000938848,,,20,0.000255651,,,1.434324622,0.000422263,,,8.381814957,0.000677365
4.509725571,0.047777046,9.896641731,0.00013957,,7.412529469,0.070789173,16.50294876,0.000387306,,6.712493,0.083197,14.90311,0.00054,,2.624337196,0.096508034,5.654477119,0.000523497,,3.438888889,0.01616676,,,0.022777778,0.000961548,,,20.5,0.000258661,,,1.995432615,0.000487572,,,12.47250462,0.000794479
6.66449213,0.047796395,14.74486542,0.000163636,,11.04869843,0.070845701,24.68432808,0.000454168,,9.98874,0.083277,22.27466,0.000634,,3.836393356,0.096588112,8.381603241,0.000613941,,3.522222222,0.013312234,,,0.023333333,-0.000938848,,,21,0.000261628,,,2.556540728,0.000541913,,,18.60853958,0.000931918
9.896641731,0.047819417,22.01720238,0.000191855,,16.50294876,0.070911728,36.9563942,0.000532597,,14.90311,0.083371,33.332,0.000743,,5.654477119,0.096682146,12.4722929,0.000720056,,3.605555556,0.017120972,,,0.023888889,-2.27E-05,,,21.5,0.000264552,,,3.306721687,0.000603967,,,27.81258965,0.001093256
14.74486542,0.047846086,32.92570877,0.000224943,,24.68432808,0.070989147,55.36449814,0.000624602,,22.27466,0.083482,49.918,0.000871,,8.381603241,0.096792169,18.60832787,0.00084458,,3.688888889,0.015212548,,,0.024444444,-2.27E-05,,,22,0.000267436,,,4.056902409,0.000657809,,,41.6186676,0.001282672
22.01720238,0.047877513,49.28846359,0.000263744,,36.9563942,0.071080327,82.97664642,0.000732551,,33.332,0.083611,74.797,0.001022,,12.4722929,0.096920654,27.81237793,0.000990728,,3.772222222,0.01517375,,,0.025,0,,,22.5,0.000270281,,,5.182122707,0.000728284,,,62.32778168,0.001505123
32.92570877,0.047914371,73.83259583,0.000309248,,55.36449814,0.07118699,124.3948822,0.000859223,,49.918,0.083763,112.1155,0.001199,,18.60832787,0.097071372,41.61845398,0.001162296,,3.855555556,0.016147375,,,0.025555556,-0.000938848,,,23,0.000273088,,,6.307343483,0.000790003,,,93.39144897,0.001766447
49.28846359,0.047957774,110.6488037,0.00036261,,82.97664642,0.07131204,186.5222168,0.001007885,,74.797,0.083941,168.0932,0.001406,,27.81237793,0.097248867,62.32756805,0.001363751,,3.938888889,0.014238951,,,0.026111111,0.001934662,,,23.5,0.000275859,,,7.671947002,0.000856601,,,139.9869537,0.002073547
73.83259583,0.048008338,165.8731079,0.000425197,,124.3948822,0.071458913,200.1399994,0.001036235,,112.1155,0.084151,200.16,0.001506,,41.61845398,0.097456709,93.39123535,0.001600359,,4.022222222,0.016147375,,,0.026666667,-0.000938848,,,24,0.000278594,,,9.036550522,0.000916475,,,200.1999969,0.00238936
110.6488037,0.048067909,200.1999969,0.00045783,,186.5222168,0.071632102,,,,168.0932,0.084397,,,,62.32756805,0.097700506,139.9867401,0.001878352,,4.105555556,0.016147375,,,0.027222222,0.001934662,,,24.5,0.000281295,,,10.74127007,0.000984248,,,,
165.8731079,0.048137587,,,,200.1399994,0.071665093,,,,200.16,0.084516,,,,93.39123535,0.097987741,200.1999969,0.002164164,,4.188888889,0.015193163,,,0.027777778,-2.27E-05,,,25,0.000283963,,,12.44598866,0.001045959,,,,
200.1999969,0.048173979,,,,,,,,,,,,,,139.9867401,0.098324589,,,,4.272222222,0.017082174,,,0.028333333,0,,,25.5,0.0002866,,,14.52451515,0.001114912,,,,
,,,,,,,,,,,,,,,200.1999969,0.098671138,,,,4.355555556,0.016147375,,,0.028888889,-2.27E-05,,,26,0.000289205,,,16.6030407,0.001178342,,,,
,,,,,,,,,,,,,,,,,,,,4.438888889,0.01616676,,,0.029444444,0.001934662,,,26.5,0.000291781,,,19.02535057,0.001246762,,,,
,,,,,,,,,,,,,,,,,,,,4.522222222,0.016127962,,,0.03,-0.001900396,,,27,0.000294327,,,21.44766235,0.001310336,,,,
,,,,,,,,,,,,,,,,,,,,4.605555556,0.017101587,,,0.030555556,0.001934662,,,27.5,0.000296845,,,24.26844025,0.001379435,,,,
,,,,,,,,,,,,,,,,,,,,4.688888889,0.018017001,,,0.031111111,-2.27E-05,,,28,0.000299336,,,27.08921814,0.001444097,,,,
,,,,,,,,,,,,,,,,,,,,4.772222222,0.01616676,,,0.031666667,0,,,28.5,0.0003018,,,30.32031822,0.001513677,,,,
,,,,,,,,,,,,,,,,,,,,4.855555556,0.018017001,,,0.032222222,-2.27E-05,,,29,0.000304238,,,33.5514183,0.00157919,,,,
,,,,,,,,,,,,,,,,,,,,4.938888889,0.018055799,,,0.032777778,0,,,29.5,0.000306651,,,37.20299149,0.001649138,,,,
,,,,,,,,,,,,,,,,,,,,5.022222222,0.017101587,,,0.033333333,-0.000938848,,,30,0.000309039,,,40.85456848,0.001715346,,,,
,,,,,,,,,,,,,,,,,,,,5.105555556,0.018971213,,2,0.033888889,0.001934662,,,30.5,0.000311404,,,44.90661621,0.001785102,,,,
,,,,,,,,,,,,,,,,,,,,5.188888889,0.01994478,,,0.034444444,0.001934662,,,31,0.000313745,,,48.95866776,0.001851463,,,,
,,,,,,,,,,,,,,,,,,,,5.272222222,0.01994478,,,0.035,0.001900425,,,31.5,0.000316063,,,53.0107193,0.001914863,,,,
,,,,,,,,,,,,,,,,,,,,5.355555556,0.018990598,,,0.035555556,0,,,32,0.00031836,,,57.06277084,0.001975662,,,,
,,,,,,,,,,,,,,,,,,,,5.438888889,0.018990598,,,0.036111111,0.000961548,,,32.5,0.000320635,,,62.23176956,0.002049984,,,,
,,,,,,,,,,,,,,,,,,,,5.522222222,0.018990598,,,0.036666667,0.000938877,,,33,0.000322889,,,67.40076447,0.002121022,,,,
,,,,,,,,,,,,,,,,,,,,5.605555556,0.019925425,,,0.037222222,0.000938877,,,33.5,0.000325122,,,72.56976318,0.002189175,,,,
,,,,,,,,,,,,,,,,,,,,5.688888889,0.018055799,,,0.037777778,0.000938877,,,34,0.000327336,,,77.7387619,0.00225477,,,,
